team,season,wins,losses,ortg,drtg,pace,three_par,ts_pct,off_efg,off_tov,orb_pct,def_efg,def_tov,drb_pct,win_pct,payroll
Golden State Warriors,2015,67,15,111.6,101.4,98.3,0.311,0.571,0.54,13.1,24.1,0.47,14.3,74.5,0.8170731707317073,73611166
Los Angeles Clippers,2015,56,26,112.4,105.5,94.7,0.322,0.565,0.533,11.6,22.8,0.493,13.2,75.7,0.6829268292682927,85259447
San Antonio Spurs,2015,55,27,108.5,102,93.8,0.269,0.555,0.517,13.1,23.4,0.484,13.3,77.3,0.6707317073170732,70770209
Atlanta Hawks,2015,60,22,108.9,103.1,93.9,0.321,0.563,0.527,13.5,21.4,0.492,14.9,73.4,0.7317073170731707,58320278
Cleveland Cavaliers,2015,53,29,111.1,106.3,92.3,0.334,0.557,0.52,13.4,26.8,0.502,12.6,74.7,0.6463414634146342,82592827
Portland Trail Blazers,2015,51,31,108.2,103.7,94.2,0.316,0.544,0.508,12.6,24.2,0.476,11.3,76.2,0.6219512195121951,84336174
Houston Rockets,2015,56,26,107,103.4,96.5,0.392,0.548,0.512,15,26.8,0.486,14.6,72.9,0.6829268292682927,76849302
Memphis Grizzlies,2015,55,27,105.7,102.2,92,0.184,0.531,0.489,12.6,24.7,0.492,14.5,75.3,0.6707317073170732,75158730
Toronto Raptors,2015,49,33,111,107.7,92.8,0.302,0.553,0.508,12,25.6,0.506,13.4,73.3,0.5975609756097561,81317963
Chicago Bulls,2015,50,32,107.5,104.3,92.8,0.269,0.536,0.489,12.9,27,0.473,11.3,74.4,0.6097560975609756,80964682
Dallas Mavericks,2015,50,32,109.5,106.4,95.2,0.296,0.55,0.515,11.9,23.6,0.503,14.7,72.2,0.6097560975609756,84820225
Oklahoma City Thunder,2015,45,37,107.8,105.5,95.7,0.262,0.532,0.492,13.1,28.9,0.489,12.4,75.6,0.5487804878048781,80408520
New Orleans Pelicans,2015,45,37,108.2,107.3,91.4,0.233,0.537,0.501,12.5,27.1,0.496,11.7,75.1,0.5487804878048781,80012866
Washington Wizards,2015,46,36,103.7,103,93.7,0.203,0.534,0.499,14,24.9,0.481,12.9,77.3,0.5609756097560976,73372974
Milwaukee Bucks,2015,41,41,102.7,102.2,94.1,0.223,0.536,0.499,15.5,25.4,0.487,15.9,73.3,0.5,61153275
Indiana Pacers,2015,38,44,103.5,103.2,93.2,0.255,0.523,0.484,13.1,24,0.478,12,77.9,0.4634146341463415,74793526
Utah Jazz,2015,38,44,105.1,104.9,90.4,0.274,0.531,0.494,14.6,29.1,0.491,12.8,76.3,0.4634146341463415,60847538
Boston Celtics,2015,40,42,104.7,104.5,95.8,0.28,0.523,0.489,12.5,24.7,0.494,13.7,75,0.4878048780487805,62218516
Phoenix Suns,2015,39,43,105.3,106.2,96.3,0.291,0.537,0.501,13.7,24.5,0.497,14,73.5,0.47560975609756095,65336172
Detroit Pistons,2015,32,50,105.3,106.4,92.8,0.29,0.515,0.482,12.3,27.7,0.502,13.2,75,0.3902439024390244,67410675
Miami Heat,2015,37,45,103.9,106.7,90.9,0.262,0.54,0.5,14.5,23.2,0.505,14.2,73.4,0.45121951219512196,82413041
Brooklyn Nets,2015,38,44,104.4,107.4,92.7,0.24,0.529,0.491,13,23.9,0.506,12.9,73.7,0.4634146341463415,91817289
Charlotte Hornets,2015,33,49,100.1,103.5,93,0.226,0.498,0.456,11.2,22.1,0.487,12,79.3,0.4024390243902439,76181367
Denver Nuggets,2015,30,52,104.5,108.2,96.1,0.284,0.518,0.479,12.7,26.6,0.504,13,74.7,0.36585365853658536,56820307
Sacramento Kings,2015,29,53,105.3,109.2,95.4,0.204,0.542,0.49,14.8,26.5,0.507,11.8,75.2,0.35365853658536583,73379071
Orlando Magic,2015,25,57,101.6,107.7,93.8,0.235,0.524,0.494,14,23.1,0.514,13.6,76,0.3048780487804878,59629210
Los Angeles Lakers,2015,21,61,103.4,110.6,94,0.22,0.513,0.473,12.1,25.4,0.518,12.1,76.3,0.25609756097560976,77546500
Minnesota Timberwolves,2015,16,66,102.9,112.2,94.4,0.179,0.517,0.468,13.7,26.6,0.537,13.9,71.6,0.1951219512195122,69378954
Philadelphia 76ers,2015,18,64,95.5,104.8,95.7,0.319,0.494,0.459,16,25.5,0.497,15.2,73,0.21951219512195122,54355571
New York Knicks,2015,17,65,99.9,110,91.2,0.24,0.508,0.47,14,24.5,0.512,13.3,73.1,0.2073170731707317,81369219
San Antonio Spurs,2016,67,15,110.3,99,93.8,0.223,0.564,0.526,12.4,23,0.477,14.1,79.1,0.8170731707317073,87832839
Golden State Warriors,2016,73,9,114.5,103.8,99.3,0.362,0.593,0.563,13.5,23.5,0.479,12.6,76,0.8902439024390244,93669566
Oklahoma City Thunder,2016,55,27,113.1,105.6,96.7,0.275,0.565,0.524,14,31.1,0.484,11.7,76,0.6707317073170732,95708387
Cleveland Cavaliers,2016,57,25,110.9,104.5,93.3,0.352,0.558,0.524,12.7,25.1,0.496,12.6,78.5,0.6951219512195121,108300458
Toronto Raptors,2016,56,26,110,105.2,92.9,0.287,0.552,0.504,12.3,24.6,0.498,12.7,77.7,0.6829268292682927,71591189
Los Angeles Clippers,2016,53,29,108.3,103.8,95.8,0.324,0.556,0.524,12.1,20.1,0.48,13.8,73.8,0.6463414634146342,97019321
Atlanta Hawks,2016,48,34,105.1,101.4,97.1,0.336,0.552,0.516,13.8,19.1,0.48,14.4,74.6,0.5853658536585366,71661760
Boston Celtics,2016,48,34,106.8,103.6,98.5,0.293,0.531,0.488,12.1,25.1,0.487,14.6,74.6,0.5853658536585366,77141919
Charlotte Hornets,2016,48,34,107.2,104.3,95.6,0.348,0.545,0.502,11.7,20,0.496,12.5,79.8,0.5853658536585366,76860006
Utah Jazz,2016,40,42,105.9,103.9,91,0.297,0.54,0.501,14.2,25.9,0.495,13.5,77.7,0.4878048780487805,63608425
Miami Heat,2016,48,34,106.1,104.4,93.6,0.221,0.545,0.508,13.3,23.8,0.485,12.1,77.8,0.5853658536585366,85764781
Indiana Pacers,2016,45,37,104.6,102.9,96.6,0.27,0.536,0.497,13.5,23.4,0.489,14.3,76,0.5487804878048781,71605233
Portland Trail Blazers,2016,44,38,108.8,108,96,0.332,0.548,0.511,13.2,25.9,0.503,12.1,76.2,0.5365853658536586,61685814
Detroit Pistons,2016,44,38,106.1,105.5,95.1,0.303,0.522,0.491,12.2,27,0.504,12.5,79.3,0.5365853658536586,77256014
