team,payroll,season
Brooklyn Nets,91817289,2015
Los Angeles Clippers,85259447,2015
Dallas Mavericks,84820225,2015
Portland Trail Blazers,84336174,2015
Cleveland Cavaliers,82592827,2015
Miami Heat,82413041,2015
New York Knicks,81369219,2015
Toronto Raptors,81317963,2015
Chicago Bulls,80964682,2015
Oklahoma City Thunder,80408520,2015
New Orleans Pelicans,80012866,2015
Los Angeles Lakers,77546500,2015
Houston Rockets,76849302,2015
Charlotte Hornets,76181367,2015
Memphis Grizzlies,75158730,2015
Indiana Pacers,74793526,2015
Golden State Warriors,73611166,2015
Sacramento Kings,73379071,2015
Washington Wizards,73372974,2015
San Antonio Spurs,70770209,2015
Minnesota Timberwolves,69378954,2015
Detroit Pistons,67410675,2015
Phoenix Suns,65336172,2015
Boston Celtics,62218516,2015
Milwaukee Bucks,61153275,2015
Utah Jazz,60847538,2015
Orlando Magic,59629210,2015
Atlanta Hawks,58320278,2015
Denver Nuggets,56820307,2015
Philadelphia 76ers,54355571,2015
Cleveland Cavaliers,108300458,2016
Los Angeles Clippers,97019321,2016
Oklahoma City Thunder,95708387,2016
Golden State Warriors,93669566,2016
San Antonio Spurs,87832839,2016
Houston Rockets,87504058,2016
Chicago Bulls,87073838,2016
Miami Heat,85764781,2016
Washington Wizards,85055155,2016
New Orleans Pelicans,83709371,2016
Memphis Grizzlies,83223881,2016
Brooklyn Nets,80258302,2016
Detroit Pistons,77256014,2016
Boston Celtics,77141919,2016
Charlotte Hornets,76860006,2016
Dallas Mavericks,75397067,2016
New York Knicks,74237021,2016
Milwaukee Bucks,73843541,2016
Los Angeles Lakers,72694352,2016
Denver Nuggets,72589023,2016
Minnesota Timberwolves,72287243,2016
Atlanta Hawks,71661760,2016
Indiana Pacers,71605233,2016
Toronto Raptors,71591189,2016
Sacramento Kings,70610560,2016
Phoenix Suns,68095365,2016
Philadelphia 76ers,64583220,2016
Utah Jazz,63608425,2016
Orlando Magic,63199651,2016
Portland Trail Blazers,61685814,2016
Cleveland Cavaliers,128522489,2017
Portland Trail Blazers,119732234,2017
Los Angeles Clippers,114756766,2017
San Antonio Spurs,112017779,2017
Memphis Grizzlies,110083520,2017
Toronto Raptors,108599970,2017
Detroit Pistons,106492988,2017
Orlando Magic,104096951,2017
Washington Wizards,104016580,2017
Charlotte Hornets,103054004,2017
New York Knicks,102593418,2017
Dallas Mavericks,102354966,2017
New Orleans Pelicans,101616451,2017
Golden State Warriors,101584835,2017
Miami Heat,100740770,2017
Atlanta Hawks,96315163,2017
Milwaukee Bucks,96245877,2017
Sacramento Kings,95596327,2017
Los Angeles Lakers,94781848,2017
Boston Celtics,93465326,2017
Chicago Bulls,92522306,2017
Oklahoma City Thunder,91230089,2017
Houston Rockets,90956067,2017
Indiana Pacers,90279072,2017
Phoenix Suns,89754590,2017
Philadelphia 76ers,84775343,2017
Denver Nuggets,83836460,2017
Minnesota Timberwolves,83527580,2017
Brooklyn Nets,82391482,2017
Utah Jazz,80138192,2017
Cleveland Cavaliers,137722926,2018
Golden State Warriors,137610134,2018
Oklahoma City Thunder,134534640,2018
Miami Heat,133624374,2018
Washington Wizards,123306396,2018
New Orleans Pelicans,120814452,2018
Milwaukee Bucks,120521249,2018
Houston Rockets,119905532,2018
Detroit Pistons,119773191,2018
Los Angeles Clippers,119093010,2018
Portland Trail Blazers,118708146,2018
Charlotte Hornets,117382664,2018
Toronto Raptors,116929373,2018
Minnesota Timberwolves,116075131,2018
Boston Celtics,115284776,2018
San Antonio Spurs,114633844,2018
Memphis Grizzlies,110700149,2018
Denver Nuggets,107543599,2018
Utah Jazz,105606838,2018
New York Knicks,105403130,2018
Los Angeles Lakers,103126557,2018
Philadelphia 76ers,100797386,2018
Atlanta Hawks,99992696,2018
Sacramento Kings,99587185,2018
Orlando Magic,98700258,2018
Brooklyn Nets,95475397,2018
Indiana Pacers,95271736,2018
Phoenix Suns,92684083,2018
Chicago Bulls,90466801,2018
Dallas Mavericks,85440245,2018
Miami Heat,153171497,2019
Golden State Warriors,146291276,2019
Oklahoma City Thunder,144916427,2019
Toronto Raptors,137793831,2019
Milwaukee Bucks,130988604,2019
Portland Trail Blazers,130256600,2019
Detroit Pistons,126557932,2019
Houston Rockets,126474100,2019
Boston Celtics,125334993,2019
